module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	162	1	2	2	0	2	1	6	executor	query/plan,executor	1	1
db::executor::projection::eval::operators::binary::comparison	crates/icydb-core/src/db/executor/projection/eval/operators/binary/comparison.rs	94	0	2	2	4	6	1	7	executor	query/plan,executor	1	1
db::executor::projection::eval::operators::binary	crates/icydb-core/src/db/executor/projection/eval/operators/binary/mod.rs	124	0	2	4	1	5	1	5	executor	query/plan,executor	1	1
db::executor::projection::eval::operators	crates/icydb-core/src/db/executor/projection/eval/operators/mod.rs	10	0	0	0	0	0	0	0	executor		0	0
db::executor::projection::eval::operators::unary	crates/icydb-core/src/db/executor/projection/eval/operators/unary.rs	57	0	1	2	1	3	1	6	executor	query/plan,executor	1	1
db::executor::projection::grouped	crates/icydb-core/src/db/executor/projection/grouped.rs	67	1	2	0	2	2	0	3	executor	query/plan	2	2
db::executor::projection::materialize	crates/icydb-core/src/db/executor/projection/materialize.rs	183	1	4	4	3	7	1	11	executor	query/plan,executor	4	4
db::executor::projection	crates/icydb-core/src/db/executor/projection/mod.rs	15	0	0	0	0	0	0	0	executor		0	0
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	179	0	5	0	1	1	0	10	executor	query/plan,access,executor	4	4
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	63	2	0	0	0	0	0	1	executor	executor	0	0
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	182	8	0	1	0	1	1	1	executor	executor	0	0
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	82	3	0	0	0	0	0	1	executor	executor	0	0
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	284	1	1	4	1	5	2	4	executor	access,executor	1	1
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	37	0	0	0	0	0	0	3	executor	executor	0	0
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	108	4	0	0	0	0	0	3	executor	query/plan,executor	2	2
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	128	0	3	0	0	0	0	8	executor	query/plan,executor	1	1
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	62	0	1	1	0	1	1	7	executor	executor	0	0
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	182	0	3	0	1	1	0	2	executor		0	0
